ConsumerId,ChoiceSetId,AlternativeIdInSet,Choice,brand_confidence,purchase_condition,package_condition,content_viewer,dispatch_time,order_method,price
1,1,1,0,Blanco,3 cuotas,Desgastado,Con indicador,Normal,Web,2.609
1,1,2,1,Amarillo,Contado,Desgastado,Con indicador,Día siguiente,Call Center,2.789
1,1,3,0,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Call Center,2.789
1,2,1,0,Naranja,Contado,Desgastado,Sin indicador,Express,Call Center,2.609
1,2,2,0,Blanco,Contado,Impecable,Con indicador,Día siguiente,App,2.699
1,2,3,1,Blanco,Contado,Impecable,Con indicador,Express,Call Center,2.699
1,3,1,0,Amarillo,Contado,Desgastado,Con indicador,Normal,Call Center,2.699
1,3,2,0,Blanco,Contado,Desgastado,Con indicador,Día siguiente,App,2.609
1,3,3,1,Blanco,3 cuotas,Desgastado,Con indicador,Normal,App,2.609
1,4,1,0,Amarillo,3 cuotas,Impecable,Sin indicador,Día siguiente,Call Center,2.699
1,4,2,1,Naranja,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.789
1,4,3,0,Blanco,3 cuotas,Impecable,Con indicador,Express,Web,2.609
1,5,1,0,Amarillo,Contado,Impecable,Con indicador,Normal,App,2.699
1,5,2,1,Naranja,Contado,Desgastado,Con indicador,Express,App,2.699
1,5,3,0,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Call Center,2.609
1,6,1,0,Naranja,3 cuotas,Desgastado,Con indicador,Día siguiente,App,2.789
1,6,2,1,Amarillo,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.699
1,6,3,0,Naranja,Contado,Desgastado,Con indicador,Normal,App,2.699
1,7,1,1,Naranja,3 cuotas,Impecable,Sin indicador,Express,Web,2.609
1,7,2,0,Blanco,Contado,Desgastado,Sin indicador,Express,Call Center,2.609
1,7,3,0,Amarillo,3 cuotas,Desgastado,Con indicador,Express,App,2.609
1,8,1,0,Amarillo,3 cuotas,Desgastado,Sin indicador,Día siguiente,App,2.789
1,8,2,1,Naranja,3 cuotas,Desgastado,Con indicador,Express,Web,2.699
1,8,3,0,Amarillo,Contado,Impecable,Con indicador,Normal,App,2.609
1,9,1,1,Naranja,Contado,Impecable,Sin indicador,Normal,App,2.609
1,9,2,0,Naranja,3 cuotas,Impecable,Sin indicador,Normal,Web,2.609
1,9,3,0,Blanco,3 cuotas,Impecable,Sin indicador,Normal,Call Center,2.699
1,10,1,0,Blanco,3 cuotas,Desgastado,Sin indicador,Normal,Web,2.789
1,10,2,0,Blanco,Contado,Desgastado,Con indicador,Día siguiente,Web,2.609
1,10,3,1,Blanco,3 cuotas,Impecable,Con indicador,Normal,Call Center,2.699
1,11,1,1,Amarillo,Contado,Desgastado,Sin indicador,Express,Web,2.699
1,11,2,0,Blanco,Contado,Impecable,Sin indicador,Express,App,2.609
1,11,3,0,Blanco,Contado,Impecable,Sin indicador,Normal,Call Center,2.609
1,12,1,1,Naranja,Contado,Desgastado,Con indicador,Express,App,2.789
1,12,2,0,Naranja,3 cuotas,Desgastado,Con indicador,Normal,App,2.699
1,12,3,0,Amarillo,3 cuotas,Desgastado,Sin indicador,Normal,App,2.789
1,13,1,1,Naranja,Contado,Desgastado,Con indicador,Express,Web,2.789
1,13,2,0,Blanco,3 cuotas,Impecable,Con indicador,Día siguiente,Web,2.609
1,13,3,0,Blanco,Contado,Impecable,Sin indicador,Express,Call Center,2.609
1,14,1,0,Amarillo,Contado,Desgastado,Sin indicador,Día siguiente,App,2.699
1,14,2,1,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Web,2.609
1,14,3,0,Amarillo,3 cuotas,Impecable,Sin indicador,Express,App,2.609
1,15,1,0,Amarillo,3 cuotas,Impecable,Sin indicador,Normal,Web,2.789
1,15,2,1,Naranja,3 cuotas,Impecable,Sin indicador,Express,Call Center,2.699
1,15,3,0,Amarillo,3 cuotas,Impecable,Con indicador,Normal,App,2.789
2,16,1,1,Amarillo,3 cuotas,Desgastado,Con indicador,Día siguiente,App,2.609
2,16,2,0,Naranja,3 cuotas,Impecable,Sin indicador,Express,Web,2.699
2,16,3,0,Blanco,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.609
2,17,1,0,Amarillo,Contado,Desgastado,Sin indicador,Día siguiente,App,2.789
2,17,2,1,Naranja,3 cuotas,Impecable,Sin indicador,Día siguiente,Web,2.789
2,17,3,0,Blanco,Contado,Desgastado,Sin indicador,Normal,Call Center,2.609
2,18,1,0,Amarillo,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.609
2,18,2,0,Amarillo,Contado,Impecable,Con indicador,Normal,App,2.789
2,18,3,1,Blanco,3 cuotas,Desgastado,Con indicador,Normal,App,2.609
2,19,1,0,Naranja,Contado,Desgastado,Sin indicador,Día siguiente,App,2.699
2,19,2,0,Naranja,3 cuotas,Desgastado,Sin indicador,Día siguiente,Call Center,2.789
2,19,3,1,Amarillo,3 cuotas,Desgastado,Sin indicador,Express,Web,2.789
2,20,1,0,Naranja,3 cuotas,Desgastado,Con indicador,Día siguiente,App,2.609
2,20,2,0,Amarillo,3 cuotas,Desgastado,Con indicador,Día siguiente,Call Center,2.699
2,20,3,1,Amarillo,Contado,Desgastado,Sin indicador,Normal,App,2.699
2,21,1,0,Blanco,3 cuotas,Desgastado,Con indicador,Día siguiente,Call Center,2.609
2,21,2,0,Blanco,3 cuotas,Desgastado,Sin indicador,Normal,Call Center,2.789
2,21,3,1,Naranja,3 cuotas,Impecable,Con indicador,Día siguiente,Web,2.609
2,22,1,0,Blanco,3 cuotas,Impecable,Con indicador,Normal,Call Center,2.699
2,22,2,1,Amarillo,3 cuotas,Impecable,Sin indicador,Express,App,2.609
2,22,3,0,Blanco,3 cuotas,Desgastado,Sin indicador,Normal,Web,2.789
2,23,1,0,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Call Center,2.789
2,23,2,1,Naranja,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.609
2,23,3,0,Blanco,Contado,Desgastado,Sin indicador,Express,App,2.609
2,24,1,0,Blanco,Contado,Desgastado,Sin indicador,Express,Web,2.699
2,24,2,1,Naranja,3 cuotas,Desgastado,Con indicador,Normal,App,2.789
2,24,3,0,Blanco,3 cuotas,Desgastado,Con indicador,Día siguiente,App,2.699
2,25,1,1,Blanco,3 cuotas,Impecable,Con indicador,Express,Call Center,2.609
2,25,2,0,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Call Center,2.609
2,25,3,0,Naranja,Contado,Impecable,Sin indicador,Express,App,2.699
2,26,1,0,Blanco,3 cuotas,Desgastado,Sin indicador,Express,Web,2.789
2,26,2,1,Amarillo,3 cuotas,Impecable,Con indicador,Normal,Call Center,2.699
2,26,3,0,Blanco,3 cuotas,Desgastado,Con indicador,Normal,Web,2.609
2,27,1,1,Naranja,Contado,Impecable,Sin indicador,Día siguiente,Call Center,2.699
2,27,2,0,Blanco,3 cuotas,Impecable,Sin indicador,Día siguiente,Web,2.789
2,27,3,0,Naranja,3 cuotas,Impecable,Con indicador,Normal,App,2.699
2,28,1,0,Naranja,Contado,Impecable,Sin indicador,Día siguiente,Call Center,2.609
2,28,2,0,Blanco,Contado,Impecable,Sin indicador,Normal,App,2.699
2,28,3,1,Naranja,3 cuotas,Impecable,Sin indicador,Express,Call Center,2.609
2,29,1,0,Amarillo,3 cuotas,Desgastado,Con indicador,Express,Call Center,2.609
2,29,2,1,Naranja,Contado,Impecable,Con indicador,Día siguiente,Call Center,2.699
2,29,3,0,Amarillo,Contado,Impecable,Con indicador,Normal,App,2.699
2,30,1,1,Naranja,3 cuotas,Impecable,Con indicador,Día siguiente,Call Center,2.609
2,30,2,0,Blanco,Contado,Desgastado,Con indicador,Normal,Web,2.609
2,30,3,0,Blanco,3 cuotas,Impecable,Sin indicador,Express,Web,2.789
3,31,1,0,Amarillo,Contado,Impecable,Sin indicador,Día siguiente,App,2.699
3,31,2,1,Amarillo,Contado,Impecable,Con indicador,Express,Call Center,2.609
3,31,3,0,Amarillo,3 cuotas,Desgastado,Sin indicador,Express,Web,2.789
3,32,1,1,Amarillo,3 cuotas,Impecable,Sin indicador,Normal,App,2.609
3,32,2,0,Amarillo,Contado,Desgastado,Con indicador,Express,App,2.609
3,32,3,0,Amarillo,Contado,Desgastado,Con indicador,Día siguiente,App,2.789
3,33,1,1,Naranja,3 cuotas,Impecable,Sin indicador,Normal,Call Center,2.789
3,33,2,0,Amarillo,3 cuotas,Impecable,Con indicador,Express,App,2.699
3,33,3,0,Blanco,3 cuotas,Desgastado,Con indicador,Día siguiente,Call Center,2.789
3,34,1,1,Blanco,3 cuotas,Impecable,Con indicador,Express,Web,2.609
3,34,2,0,Amarillo,Contado,Desgastado,Sin indicador,Día siguiente,App,2.699
3,34,3,0,Amarillo,Contado,Desgastado,Sin indicador,Normal,App,2.789
3,35,1,0,Amarillo,Contado,Impecable,Sin indicador,Normal,Web,2.609
3,35,2,0,Naranja,3 cuotas,Impecable,Sin indicador,Normal,App,2.699
3,35,3,1,Amarillo,Contado,Desgastado,Con indicador,Día siguiente,Web,2.789
3,36,1,0,Amarillo,3 cuotas,Impecable,Sin indicador,Día siguiente,App,2.609
3,36,2,1,Amarillo,Contado,Desgastado,Con indicador,Normal,Web,2.609
3,36,3,0,Amarillo,3 cuotas,Desgastado,Con indicador,Normal,Web,2.609
3,37,1,0,Naranja,3 cuotas,Impecable,Con indicador,Normal,App,2.609
3,37,2,1,Amarillo,3 cuotas,Desgastado,Sin indicador,Día siguiente,App,2.789
3,37,3,0,Blanco,Contado,Desgastado,Sin indicador,Día siguiente,App,2.699
3,38,1,1,Amarillo,3 cuotas,Desgastado,Con indicador,Express,App,2.699
3,38,2,0,Naranja,Contado,Desgastado,Sin indicador,Día siguiente,Call Center,2.609
3,38,3,0,Blanco,Contado,Desgastado,Con indicador,Normal,Web,2.609
3,39,1,1,Amarillo,3 cuotas,Impecable,Sin indicador,Express,App,2.609
3,39,2,0,Naranja,Contado,Desgastado,Con indicador,Normal,Call Center,2.789
3,39,3,0,Naranja,3 cuotas,Desgastado,Con indicador,Normal,App,2.699
3,40,1,0,Naranja,Contado,Impecable,Sin indicador,Normal,App,2.699
3,40,2,1,Amarillo,3 cuotas,Impecable,Con indicador,Normal,App,2.699
3,40,3,0,Amarillo,3 cuotas,Impecable,Con indicador,Express,App,2.789
3,41,1,1,Naranja,Contado,Impecable,Con indicador,Express,Web,2.699
3,41,2,0,Amarillo,3 cuotas,Impecable,Sin indicador,Express,Call Center,2.609
3,41,3,0,Amarillo,Contado,Desgastado,Con indicador,Express,App,2.699
3,42,1,1,Amarillo,Contado,Impecable,Con indicador,Express,Web,2.789
3,42,2,0,Amarillo,Contado,Impecable,Con indicador,Normal,Web,2.789
3,42,3,0,Blanco,3 cuotas,Desgastado,Sin indicador,Normal,Web,2.789
3,43,1,0,Naranja,3 cuotas,Desgastado,Sin indicador,Día siguiente,Call Center,2.789
3,43,2,1,Naranja,Contado,Desgastado,Sin indicador,Día siguiente,App,2.699
3,43,3,0,Naranja,Contado,Impecable,Con indicador,Express,Call Center,2.699
3,44,1,0,Amarillo,Contado,Impecable,Con indicador,Día siguiente,App,2.609
3,44,2,0,Naranja,3 cuotas,Impecable,Con indicador,Día siguiente,Web,2.699
3,44,3,1,Amarillo,3 cuotas,Desgastado,Sin indicador,Express,Call Center,2.699
3,45,1,0,Amarillo,3 cuotas,Desgastado,Con indicador,Express,Call Center,2.789
3,45,2,0,Amarillo,3 cuotas,Desgastado,Con indicador,Día siguiente,Call Center,2.609
3,45,3,1,Amarillo,3 cuotas,Impecable,Sin indicador,Express,Web,2.609
4,46,1,1,Amarillo,Contado,Impecable,Sin indicador,Express,Call Center,2.789
4,46,2,0,Amarillo,Contado,Impecable,Con indicador,Express,App,2.699
4,46,3,0,Naranja,3 cuotas,Desgastado,Con indicador,Express,Call Center,2.609
4,47,1,0,Naranja,3 cuotas,Desgastado,Con indicador,Express,Web,2.699
4,47,2,1,Amarillo,3 cuotas,Desgastado,Sin indicador,Día siguiente,Call Center,2.789
4,47,3,0,Blanco,3 cuotas,Impecable,Sin indicador,Día siguiente,Call Center,2.609
4,48,1,0,Blanco,3 cuotas,Impecable,Con indicador,Normal,App,2.699
4,48,2,0,Naranja,3 cuotas,Impecable,Sin indicador,Express,App,2.789
